uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
CJ41_020621c,CJ41,HI,0.8611,0.8669,0.8612,0.1396,0.2403,0.8362,0.8611,0.8376,0.0007,0.0227,0.077,0.7008,0.0407,0.358,0.9508,0.2205,0.2501,0.7,0.1523,0.0,0.0,0.0,0.1713
CK39_020510a,CK39,HI,0.5488,0.5879,0.7241,0.6245,0.6706,0.2588,0.5488,0.2401,0.1237,0.1849,0.3907,0.6255,0.284,0.7764,0.7408,0.8156,0.0,0.0,0.0,0.0,0.0,0.0,0.2918
CK39_020510b,CK39,HI,0.5204,0.5551,0.8137,0.5846,0.6804,0.3072,0.5204,0.3158,0.105,0.0996,0.5132,0.592,0.4529,0.7573,0.8602,0.6763,0.0,0.0,0.0,0.0,0.0,0.0,0.3176
CK39_020510c,CK39,HI,0.6583,0.7866,0.6739,0.369,0.4769,0.4746,0.6583,0.4692,0.0238,0.1652,0.3081,0.5353,0.2163,0.6398,0.7605,0.5521,0.0,0.0,0.0,0.0,0.0,0.0,0.237
CK67_020227a,CK67,HI,0.5088,0.7126,0.7828,0.5443,0.6421,0.3449,0.5088,0.3357,0.0386,0.1345,0.3239,0.6775,0.2128,0.7426,0.8409,0.6649,0.5686,0.511,0.6408,0.0,0.0,0.0,0.4088
CK67_020227b,CK67,HI,0.5276,0.6388,0.7917,0.4987,0.6119,0.3755,0.5276,0.3779,0.0257,0.1239,0.5021,0.6518,0.4083,0.6849,0.8543,0.5716,0.0,0.0,0.0,0.4009,0.6052,0.2998,0.397
CK67_020227c,CK67,HI,0.3718,0.5695,0.8772,0.7041,0.7812,0.2366,0.3718,0.2339,0.0501,0.0879,0.3469,0.5755,0.2483,0.8432,0.8947,0.7973,0.0,0.0,0.0,0.5582,0.8727,0.4103,0.4371
CW41_020701a,CW41,HI,0.5664,0.6286,0.7694,0.4883,0.5974,0.3485,0.5664,0.3399,0.0547,0.1718,0.6416,0.7195,0.5789,0.6115,0.7619,0.5107,0.0,0.0,0.0,0.3713,0.972,0.2295,0.4061
CW41_020701b,CW41,HI,0.5023,0.6008,0.8041,0.5663,0.6646,0.3218,0.5113,0.322,0.0673,0.122,0.6548,0.7371,0.589,0.7251,0.8531,0.6305,0.0,0.0,0.0,0.0,0.0,0.0,0.345
CW41_020701c,CW41,HI,0.5438,0.6298,0.8448,0.4922,0.622,0.4355,0.5438,0.4308,0.0359,0.077,0.6621,0.8416,0.5457,0.6439,0.843,0.5208,0.0,0.0,0.0,0.3623,0.9022,0.2267,0.4171
FJ11_020816a,FJ11,NH,0.6129,0.6001,0.6849,0.5273,0.5959,0.264,0.6129,0.2634,0.1394,0.2101,0.5118,0.5944,0.4493,0.7322,0.7076,0.7585,0.0,0.0,0.0,0.5078,0.7328,0.3885,0.438
FJ11_020816b,FJ11,NH,0.5658,0.6708,0.7129,0.5115,0.5956,0.3177,0.5658,0.3027,0.0727,0.1905,0.6565,0.7752,0.5693,0.5838,0.6095,0.5602,0.0,0.0,0.0,0.2503,0.4046,0.1812,0.3726
FJ11_020816c,FJ11,NH,0.6218,0.7425,0.6382,0.4453,0.5246,0.3479,0.6218,0.3464,0.0509,0.2245,0.561,0.5921,0.533,0.5943,0.6791,0.5283,0.0,0.0,0.0,0.3764,0.6079,0.2726,0.3829
FM07_020715a,FM07,NH,0.6418,0.742,0.7006,0.3974,0.5071,0.4759,0.6417,0.4762,0.0086,0.1569,0.4841,0.9048,0.3305,0.476,0.4079,0.5716,0.5757,0.7031,0.4874,0.0,0.0,0.0,0.384
FM07_020715b,FM07,NH,0.7966,0.8566,0.4499,0.4219,0.4355,0.3606,0.8595,0.3539,0.086,0.4196,0.1739,0.531,0.104,0.202,0.1539,0.2938,0.0,0.0,0.0,0.4474,0.4328,0.4631,0.2058
FM07_020715c,FM07,NH,0.6666,0.8131,0.5382,0.5439,0.541,0.3178,0.9808,0.295,0.5883,0.0975,0.5579,0.4557,0.7192,0.6204,0.5909,0.6529,0.0,0.0,0.0,0.0,0.0,0.0,0.2946
GJ44_020028a,GJ44,HI,0.3609,0.5454,0.9059,0.6591,0.763,0.308,0.3609,0.2902,0.02,0.0507,0.331,0.6901,0.2177,0.8327,0.9243,0.7577,0.0,0.0,0.0,0.0,0.0,0.0,0.2909
GJ44_020028b,GJ44,HI,0.6229,0.7521,0.8072,0.4095,0.5434,0.533,0.6229,0.5143,0.0324,0.0761,0.5402,0.8494,0.3961,0.5739,0.7781,0.4546,0.0,0.0,0.0,0.3861,0.75,0.26,0.375
GJ44_020028c,GJ44,HI,0.5297,0.5111,0.8801,0.4744,0.6165,0.464,0.5296,0.4643,0.004,0.0613,0.3845,0.8494,0.2485,0.8516,0.8951,0.8121,0.0,0.0,0.0,0.0,0.0,0.0,0.309
HE47_020618a,HE47,HI,0.9278,0.9157,0.7804,0.0723,0.1323,0.9074,0.9278,0.9074,0.0001,0.0203,0.0919,0.65,0.0494,0.2154,0.9466,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0768
HE47_020618b,HE47,HI,0.7665,0.7754,0.8139,0.2391,0.3696,0.7173,0.7665,0.7119,0.0056,0.0491,0.3746,0.8667,0.239,0.359,0.7189,0.2392,0.0,0.0,0.0,0.0,0.0,0.0,0.1834
HE47_020618c,HE47,HI,0.6154,0.6552,0.8575,0.3978,0.5435,0.5511,0.6154,0.545,0.0132,0.0572,0.359,0.7558,0.2354,0.4523,0.8837,0.304,0.6954,0.8705,0.5789,0.0,0.0,0.0,0.3767
IA02_020511a,IA02,NH,0.5155,0.5286,0.7676,0.6366,0.696,0.27,0.5155,0.2485,0.1521,0.1149,0.8191,0.8284,0.8101,0.0,0.0,0.0,0.4622,0.5529,0.397,0.0,0.0,0.0,0.3203
IA02_020511b,IA02,NH,0.6263,0.5933,0.7398,0.4722,0.5765,0.4067,0.6263,0.3759,0.0986,0.1519,0.6219,0.7695,0.5218,0.0,0.0,0.0,0.5522,0.6631,0.473,0.0,0.0,0.0,0.2935
IA02_020511c,IA02,NH,0.6135,0.5911,0.8641,0.4034,0.55,0.5419,0.6135,0.5369,0.017,0.0596,0.6659,0.8173,0.5619,0.0,0.0,0.0,0.5004,0.8908,0.3479,0.0,0.0,0.0,0.2916
JA39_020509a,JA39,HI,0.5025,0.5301,0.7227,0.5714,0.6382,0.2689,0.5025,0.253,0.0739,0.1756,0.6523,0.7991,0.5511,0.6326,0.6509,0.6152,0.0,0.0,0.0,0.0,0.0,0.0,0.3212
JA39_020509b,JA39,HI,0.5207,0.5644,0.7273,0.542,0.6211,0.3533,0.5207,0.3043,0.0625,0.1539,0.5382,0.7924,0.4075,0.6797,0.7212,0.6427,0.0,0.0,0.0,0.0,0.0,0.0,0.3045
JA39_020509c,JA39,HI,0.5098,0.5374,0.828,0.5162,0.6359,0.3819,0.5098,0.3794,0.026,0.1044,0.5208,0.8231,0.3809,0.7394,0.8163,0.6758,0.0,0.0,0.0,0.0,0.0,0.0,0.315
KA05_020516a,KA05,HI,0.6108,0.6172,0.7443,0.4425,0.555,0.3995,0.6108,0.3789,0.0533,0.1786,0.4161,0.9045,0.2702,0.0,0.0,0.0,0.6819,0.7071,0.6584,0.0,0.0,0.0,0.2745
KA05_020516b,KA05,HI,0.6359,0.6785,0.6673,0.4059,0.5048,0.4033,0.6359,0.4038,0.0418,0.1903,0.4507,0.5694,0.373,0.0,0.0,0.0,0.6413,0.7345,0.5691,0.3824,0.6449,0.2718,0.3686
KA05_020516c,KA05,HI,0.6907,0.6914,0.6272,0.3696,0.4651,0.4545,0.6907,0.4419,0.0603,0.1884,0.6511,0.615,0.6918,0.0,0.0,0.0,0.4837,0.6094,0.4011,0.2795,0.7087,0.1741,0.3536
KC10_020417a,KC10,NH,0.647,0.7437,0.7954,0.3753,0.51,0.5046,0.6491,0.5063,0.0113,0.1315,0.5421,0.7697,0.4184,0.0052,0.01,0.0035,0.0,0.0,0.0,0.5533,0.8173,0.4183,0.2752
KC10_020417b,KC10,NH,0.582,0.6939,0.7166,0.4475,0.5509,0.4016,0.582,0.3962,0.0272,0.1585,0.4001,0.5186,0.3257,0.3279,0.5475,0.234,0.0,0.0,0.0,0.653,0.8223,0.5415,0.3453
KC10_020417c,KC10,NH,0.638,0.6388,0.7835,0.417,0.5443,0.4987,0.638,0.4961,0.055,0.087,0.6147,0.8531,0.4805,0.5117,0.6804,0.4101,0.5396,0.8135,0.4036,0.5006,0.5623,0.4511,0.5416
KM33_020101a,KM33,HI,0.7412,0.7909,0.8274,0.2661,0.4027,0.6911,0.7412,0.6859,0.0068,0.0486,0.509,0.8421,0.3648,0.4779,0.7338,0.3543,0.3063,0.8456,0.187,0.0,0.0,0.0,0.3233
KM33_020101b,KM33,HI,0.7564,0.8152,0.7963,0.265,0.3977,0.6863,0.7376,0.6544,0.0249,0.0583,0.4806,0.7676,0.3498,0.3697,0.7913,0.2412,0.3353,0.9433,0.2039,0.0,0.0,0.0,0.2964
KM33_020101c,KM33,HI,0.6206,0.6799,0.7606,0.4141,0.5362,0.4821,0.6206,0.4749,0.0347,0.1109,0.5663,0.7242,0.4649,0.2668,0.8356,0.1587,0.5881,0.7675,0.4767,0.0,0.0,0.0,0.3553
LH56_020706a,LH56,HI,0.4764,0.6047,0.8153,0.5349,0.646,0.364,0.4764,0.3539,0.0114,0.1111,0.5156,0.6321,0.4354,0.6843,0.8665,0.5654,0.4824,0.6521,0.3828,0.0,0.0,0.0,0.4206
LH56_020706b,LH56,HI,0.6151,0.7305,0.669,0.4804,0.5592,0.3729,0.6151,0.3711,0.0399,0.2042,0.3327,0.5481,0.2388,0.6689,0.7061,0.6354,0.0,0.0,0.0,0.237,0.603,0.1475,0.3096
LH56_020706c,LH56,HI,0.5663,0.7726,0.8647,0.4509,0.5927,0.4954,0.5663,0.4909,0.0104,0.065,0.3268,0.6397,0.2194,0.6599,0.8964,0.5221,0.0,0.0,0.0,0.0,0.0,0.0,0.2467
LJ30_020702a,LJ30,HI,0.5008,0.7275,0.8752,0.537,0.6656,0.416,0.5008,0.4114,0.0314,0.058,0.6195,0.8797,0.4781,0.0,0.0,0.0,0.7928,0.867,0.7302,0.0,0.0,0.0,0.3531
